Genre,avg_rating
"Short, Comedy, Drama",8.1
"Action, Crime, Drama",7.9
"Comedy, Romance",6.3
"Drama, Romance",6.1
"Biography, Drama",5.7
Horror,2.7
Documentary,2.4
Talk-Show,0.0
N/A,0.0
Genre,0.0
